DEBUG 	2017-07-13 15:19:50 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:19:50 - Début de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:19:50 - Début de DBSetter::creerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:19:50 - Fin de DBSetter::creerElement (caller : addMouvements) Dernier id : 903465
DEBUG 	2017-07-13 15:19:50 - Fin de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:19:50 - Début de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:19:50 - Fin de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:19:57 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:19:57 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:19:57 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:19:57 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:19:57 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:19:58 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:19:58 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:19:58 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:19:58 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:19:58 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:19:58 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:19:58 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:19:58 - Début de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:19:58 - Fin de DBGetter::getColumns (appel par checkUser)
DEBUG 	2017-07-13 15:19:58 - Début de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:19:58 - Fin de DBGetter::getColumns (appel par checkEmplacementAndInsert)
DEBUG 	2017-07-13 15:19:58 - Début de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:19:58 - Fin de DBGetter::getColumns (appel par checkEmplacementAndProduitType)
DEBUG 	2017-07-13 15:19:58 - Début de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:19:58 - Début de DBSetter::creerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:19:58 - Fin de DBSetter::creerElement (caller : addMouvements) Dernier id : 903466
DEBUG 	2017-07-13 15:19:58 - Fin de DBSetter::creerElements (caller : addMouvements)
DEBUG 	2017-07-13 15:19:58 - Début de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:19:58 - Fin de DBSetter::supprimerElement (caller : addMouvements)
DEBUG 	2017-07-13 15:20:00 - Début de DBGetter::getColumns (appel par checkUser)
